aliases,industries,countries,software,malware,vulns,targeted_products,attacks
,,,,,,Nonstop Volume Level Encryption J06.13,
,,,,,,Endpoint Security Server,
,,,,,,Nonstop Volume Level Encryption J06.15,
,,,,,,Worklight (Application),
,,,,,,SANtricity SMI-S Provider (Application),
,,,,,,Laserjet Pro M701,
,,,,,,Ibm Contact Optimization,
,,,,,,Hp Server Automation,
,,,,,,Netezza Platform Software,
,,,,,,Hp Officejet Pro 276Dw,
,,,,,,Windows Vista,
,,,,,,Fedora,
,,,,,,Windows,
,,,,,,Big-IP LTM,
,,,,,,Communicator For Android OS,
,,,,,,.Net Framework (Application),
,,,,,,Nonstop Volume Level Encryption J06.10,
,,,,,,Netiq Access Manager,
,,,,,,EMC Integrated Data Protection Appliance,
,,,,,,Officescan 11,
,,,,,,System X Idataplex Series,
,,,,,,Data Center Security Appliances,
,,,,,,Advanced Setting Utility,
,,,,,,Oracle Communications Policy Management 12,
,,,,,,Uim Deployment Pack,
,,,,,,MiCollab,
,,,,,,Ucmdb Browser,
,,,,,,Oracle Solaris,
,,,,,,Simatic S7-1500 Firmware,
,,,,,,Nonstop Volume Level Encryption J06.16.02,
,,,,,,Office Compatibility Pack,
,,,,,,Uim System Updates,
,,,,,,Ibm Security Network Protection Xgs 3100,
,,,,,,Windows Server 2012 (OS),
,,,,,,Smart Update Manager (Application),
,,,,,,Insight Control Server Migration V7.3.1,
,,,,,,Hp Officejet Pro X476Dn,
,,,,,,Nonstop Volume Level Encryption J06.17,
,,,,,,Oracle Communications Internet Name And Address Management,
,,,,,,Airport Express Base Station,
,,,,,,Color Laserjet Pro M476,
,,,,,,Red Hat Enterprise Linux Desktop,
,,,,,,Ibm System Storage Ds8870,
,,,,,,Simatic Wincc Open Architecture,
,,,,,,FlashRay (Hardware),
,,,,,,Bladecenter Advanced Management Module,
,,,,,,Big-Ip Edge Clients For Windows 7101,
,,,,,,Sybase SQL Anywhere (Application),
,,,,,,Sybase SDK,
